Country Code,Date,City,Latitude,Longitude,Max Temp,Humidity,Cloud Cover,Wind Speed
GL,1554361722,Qaanaaq,77.48,-69.36,7.32,76,76,5.7
UG,1554357600,Lugazi,0.37,32.94,73.4,75,75,4.36
GL,1554357000,Qasigiannguit,68.82,-51.19,17.6,88,88,17.22
BR,1554361723,Itarema,-2.92,-39.92,75.45,92,92,4.81
RU,1554361724,Severo-Kurilsk,50.68,156.12,34.77,92,92,3.91
HN,1554361724,Barra Patuca,15.8,-84.28,79.23,0,0,9.62
PF,1554361724,Atuona,-9.8,-139.03,82.65,0,0,12.41
PF,1554361726,Rikitea,-23.12,-134.97,75.54,0,0,17.34
CN,1554361730,Houma,35.63,111.36,65.37,68,68,4.7
CA,1554361730,Tuktoyaktuk,69.44,-133.03,6.42,56,56,10.96
AU,1554361508,Busselton,-33.64,115.35,70.0,48,48,25.61
AR,1554361731,Mar del Plata,-46.43,-67.52,45.12,0,0,3.91
IN,1554361731,Mandsaur,24.07,75.07,100.29,0,0,8.95
SB,1554361732,Buala,-8.15,159.59,86.61,24,24,7.94
GB,1554361686,Truro,50.26,-5.05,45.0,75,75,10.29
CK,1554359400,Avarua,-21.21,-159.78,75.2,100,100,2.24
RU,1554361732,Okha,53.59,142.95,31.17,80,80,20.24
US,1554361462,Nome,30.04,-94.42,66.2,90,90,8.05
JP,1554357600,Kamaishi,39.28,141.86,51.8,75,75,4.7
RU,1554359400,Mayya,61.74,130.28,39.2,0,0,6.71
ZA,1554361734,Carnarvon,-30.97,22.13,49.35,0,0,4.25
ID,1554357600,Padang,-0.92,100.36,87.8,20,20,5.82
RU,1554361734,Dikson,73.51,80.55,23.97,88,88,17.56
AR,1554357600,Ushuaia,-54.81,-68.31,39.2,90,90,8.05
US,1554361708,Hilo,19.71,-155.08,75.0,90,90,9.17
ZA,1554361289,Hermanus,-34.42,19.24,63.0,88,88,4.14
YE,1554361736,Marzuq,14.4,46.47,75.81,0,0,3.58
CL,1554361736,Taltal,-25.41,-70.49,50.97,0,0,1.57
NZ,1554361206,Mataura,-46.19,168.86,51.01,92,92,5.01
BR,1554361736,Arraial do Cabo,-22.97,-42.02,75.81,0,0,12.75
AO,1554361737,Namibe,-15.19,12.15,76.71,44,44,10.63
SE,1554361267,Visby,57.64,18.3,46.99,0,0,17.22
US,1554361475,Golden Gate,38.36,-88.2,55.99,40,40,8.05
TL,1554361738,Airai,-8.93,125.41,77.7,88,88,2.13
US,1554361529,Waseca,44.08,-93.51,42.8,1,1,6.93
IN,1554357600,Vaini,15.34,74.49,91.4,0,0,2.24
US,1554361303,Portland,45.52,-122.67,48.2,20,20,2.13
AU,1554361739,Bluff,-23.58,149.07,87.24,12,12,14.2
RU,1554361739,Kamenka,53.19,44.05,31.71,92,92,12.41
ZA,1554357900,East London,-33.02,27.91,75.2,0,0,5.59
AU,1554361635,New Norfolk,-42.78,147.06,62.6,0,0,12.75
PE,1554357600,Pisco,-13.71,-76.2,69.8,75,75,9.17
MX,1554361217,Valentin Gomez Farias,24.05,-104.7,55.99,0,0,8.99
AR,1554361741,Barrow,-38.31,-60.23,61.41,80,80,15.43
AU,1554361741,Port Lincoln,-34.72,135.86,78.24,0,0,4.25
VE,1554361741,San Jose de Guanipa,8.89,-64.17,75.27,32,32,13.53
US,1554361267,Winnemucca,40.97,-117.74,46.0,1,1,8.05
RU,1554361742,Mirnyy,56.57,36.46,38.01,32,32,6.93
US,1554361709,Kapaa,22.08,-159.32,73.4,40,40,12.75
RU,1554361742,Verkhoyansk,67.55,133.39,29.01,0,0,3.69
RU,1554361536,Nikolskoye,59.7,30.79,45.0,0,0,6.71
NO,1554361317,Kabelvag,68.21,14.48,33.8,40,40,9.17
PE,1554361743,Paita,-5.09,-81.11,72.39,76,76,4.14
AU,1554361505,Port Macquarie,-31.43,152.91,73.99,75,75,11.41
CL,1554361735,Los Andes,-32.83,-70.6,57.2,90,90,8.05
NZ,1554361744,Te Anau,-45.41,167.72,41.97,100,100,5.03
BR,1554361745,Boa Viagem,-5.13,-39.73,71.31,88,88,3.13
BR,1554361088,Aquiraz,-3.9,-38.39,77.0,75,75,2.24
US,1554361745,Sterling,39.0,-77.4,48.0,1,1,4.59
KI,1554361746,Butaritari,3.07,172.79,77.07,88,88,9.4
BR,1554361746,Marechal Candido Rondon,-24.56,-54.06,70.59,44,44,5.93
PT,1554361747,Saldanha,41.42,-6.55,24.6,0,0,3.58
AR,1554357600,Rio Gallegos,-51.62,-69.22,44.6,0,0,29.97
GL,1554361747,Nanortalik,60.14,-45.24,26.49,0,0,11.41
BR,1554361748,Camapua,-19.53,-54.04,69.69,36,36,3.02
ZA,1554361391,Cape Town,-33.93,18.42,63.0,75,75,14.99
US,1554361709,Kodiak,39.95,-94.76,52.0,40,40,20.8
BR,1554361088,Vila Velha,-3.71,-38.6,77.0,75,75,2.24
RU,1554361749,Saskylakh,71.97,114.09,27.57,0,0,8.5
UZ,1554359400,Nurota,40.56,65.69,69.8,24,24,6.93
CL,1554358350,Punta Arenas,-53.16,-70.91,42.8,20,20,41.38
LY,1554361750,Awbari,26.59,12.77,62.13,20,20,4.59
GL,1554357000,Ilulissat,69.22,-51.1,17.6,88,88,17.22
FR,1554361582,Souillac,45.6,-0.6,41.0,20,20,5.82
US,1554357360,Bethel,60.79,-161.76,33.8,1,1,25.28
RU,1554361752,Khatanga,71.98,102.47,15.33,80,80,6.71
KE,1554361752,Marsabit,2.34,37.99,79.41,0,0,15.43
PF,1554361345,Tiarei,-17.53,-149.33,82.4,40,40,3.36
US,1554361324,Green River,41.53,-109.47,37.4,20,20,21.92
MG,1554361753,Sambava,-14.27,50.17,82.47,80,80,8.61
CA,1554361742,Lamont,53.76,-112.78,36.0,1,1,8.05
US,1554361624,Kenai,60.55,-151.26,39.2,1,1,11.41
BS,1554361754,High Rock,26.63,-78.28,74.37,44,44,14.88
AU,1554361695,Margate,-43.03,147.26,62.6,0,0,12.75
PH,1554361755,San Policarpo,12.18,125.51,83.19,0,0,9.06
BR,1554361755,Ponta do Sol,-20.63,-46.0,64.56,8,8,2.8
CN,1554361756,Shitanjing,39.23,106.34,65.19,0,0,5.93
US,1554361741,Albany,42.65,-73.75,37.0,20,20,13.87
ZA,1554361548,Port Alfred,-33.59,26.89,72.0,0,0,5.99
BR,1554361757,Itapuranga,-15.56,-49.95,70.5,24,24,4.7
MX,1554356580,Campeche,19.84,-90.54,80.6,5,5,11.41
MM,1554361758,Taunggyi,20.78,97.03,87.33,12,12,6.38
CV,1554361200,Vila do Maio,15.13,-23.22,69.8,20,20,9.17
PG,1554361758,Lorengau,-2.02,147.27,84.81,56,56,13.09
CL,1554357600,Coquimbo,-29.95,-71.34,57.2,0,0,4.7
PT,1554361704,Vila Franca do Campo,37.72,-25.43,55.4,40,40,8.05
NO,1554357000,Mehamn,71.03,27.85,32.0,75,75,11.41
CA,1554357600,Thompson,55.74,-97.86,8.6,40,40,2.24
GY,1554361542,Georgetown,6.8,-58.16,77.07,24,24,6.38
RU,1554361512,Urengoy,65.96,78.37,22.17,64,64,7.94
RU,1554361762,Udachnyy,66.42,112.4,30.0,0,0,4.92
BR,1554361762,Capinzal,-27.34,-51.61,69.24,76,76,2.68
AU,1554361272,Stawell,-37.06,142.77,75.99,20,20,1.01
IN,1554361763,Kavaratti,10.57,72.64,83.46,44,44,3.8
RU,1554361763,Ust-Ilimsk,57.96,102.73,31.53,88,88,7.94
BR,1554361763,Cidreira,-30.17,-50.22,71.49,36,36,1.57
AU,1554361755,Hobart,-42.88,147.33,62.6,0,0,12.75
PT,1554361606,Soure,40.06,-8.63,42.8,40,40,1.12
IN,1554359400,Yanam,16.73,82.22,95.0,20,20,9.17
GL,1554361747,Upernavik,72.79,-56.15,14.07,88,88,31.99
RU,1554361765,Neryungri,56.66,124.71,30.18,56,56,4.36
BN,1554359400,Victoria,5.28,115.24,89.6,75,75,5.82
US,1554361511,Saint Anthony,43.97,-111.68,44.6,1,1,11.41
ET,1554361766,Lebu,8.96,38.73,61.41,48,48,3.91
UY,1554361766,Chuy,-33.69,-53.46,65.82,20,20,7.38
PF,1554361767,Vaitape,-16.52,-151.75,85.53,80,80,4.59
US,1554361721,Port Elizabeth,39.31,-74.98,48.99,1,1,3.36
MX,1554361522,Ixtapa,20.71,-105.21,73.0,5,5,2.24
IN,1554361767,Guhagar,17.48,73.19,85.53,0,0,6.71
ES,1554361534,Fortuna,38.18,-1.13,57.2,75,75,2.24
MU,1554361743,Bambous Virieux,-20.34,57.76,86.0,40,40,6.93
US,1554361273,Lamar,38.09,-102.62,51.01,90,90,5.82
CA,1554361625,Yellowknife,62.45,-114.38,-4.01,40,40,3.36
EE,1554361769,Vao,59.1,26.19,35.94,0,0,5.93
PT,1554361464,Ponta Delgada,37.73,-25.67,55.4,40,40,8.05
MX,1554361342,La Cruz,23.92,-106.89,60.01,0,0,2.13
IN,1554361770,Leh,34.16,77.58,12.81,24,24,0.56
RU,1554361770,Revda,67.94,34.55,32.34,68,68,4.14
TR,1554361759,Viransehir,37.24,39.76,51.69,76,76,6.6
CA,1554357600,Geraldton,49.72,-86.95,5.0,5,5,5.82
US,1554361257,Sitka,37.17,-99.65,48.0,92,92,1.01
NZ,1554361576,Waipawa,-39.94,176.59,57.99,68,68,4.81
CL,1554357600,Coihaique,-45.58,-72.07,46.4,0,0,4.7
RU,1554361772,Pevek,69.7,170.27,16.05,0,0,3.36
CL,1554357600,Castro,-42.48,-73.76,46.4,75,75,10.29
CA,1554361312,Little Current,45.98,-81.93,24.8,20,20,5.82
BR,1554361773,Codajas,-3.84,-62.06,75.9,44,44,2.68
BR,1554361773,Caravelas,-17.73,-39.27,81.03,24,24,8.84
CA,1554360360,The Pas,53.82,-101.24,19.4,90,90,14.99
MM,1554361682,Lashio,22.93,97.75,86.43,20,20,2.57
IR,1554361774,Khash,28.22,61.21,78.06,0,0,7.16
MX,1554361775,Guerrero Negro,27.97,-114.04,55.29,48,48,6.82
VU,1554361775,Isangel,-19.55,169.27,80.31,100,100,9.95
ID,1554361775,Amahai,-3.31,129.0,85.35,80,80,9.17
CA,1554361643,Albanel,48.88,-72.44,24.8,90,90,21.92
CA,1554361723,Saint-Philippe,45.36,-73.48,32.0,40,40,4.7
NZ,1554361756,Kaitangata,-46.28,169.85,48.0,100,100,5.99
IT,1554361764,Abbiategrasso,45.4,8.92,55.0,75,75,13.87
SV,1554360414,Acajutla,13.59,-89.83,73.99,68,68,2.57
NO,1554360600,Trofors,65.54,13.39,37.4,75,75,1.12
GR,1554361755,Ayia Galini,35.1,24.68,61.0,40,40,4.7
GL,1554357000,Tasiilaq,65.61,-37.64,24.8,12,12,16.11
RU,1554361779,Sangar,63.92,127.47,34.68,56,56,3.13
NA,1554361779,Otjiwarongo,-20.46,16.65,58.89,0,0,2.91
KE,1554357360,Witu,-2.39,40.44,86.0,90,90,6.15
RU,1554361780,Deputatskiy,69.3,139.9,23.61,0,0,3.91
US,1554361313,Taos,36.41,-105.57,32.0,0,0,6.93
ZA,1554361278,Bredasdorp,-34.53,20.04,64.4,0,0,11.41
CA,1554357600,Port Hardy,50.7,-127.42,41.0,75,75,5.82
AU,1554361782,Jamestown,-33.21,138.6,84.18,0,0,8.84
BR,1554361782,Sao Domingos,-13.4,-46.32,69.51,32,32,3.58
TT,1554361507,Esperance,10.24,-61.45,77.0,20,20,5.82
EC,1554361783,Puerto Ayora,-0.74,-90.35,78.51,24,24,8.39
RS,1554359400,Sume,43.62,20.22,51.8,0,0,9.17
MX,1554361217,Constitucion,23.99,-104.67,55.99,0,0,8.99
BR,1554361784,Touros,-5.2,-35.46,78.96,80,80,3.69
NP,1554360600,Banepa,27.63,85.52,73.4,75,75,14.99
KZ,1554361785,Beyneu,45.32,55.19,47.19,80,80,14.65
JP,1554361721,Nishihara,35.74,139.53,64.99,20,20,18.34
US,1554361724,Dubuque,42.5,-90.66,44.6,1,1,2.91
PF,1554361786,Fare,-16.7,-151.02,85.71,92,92,8.05
PY,1554361786,San Patricio,-26.98,-56.83,72.12,32,32,3.58
CN,1554361787,Xiangxiang,27.73,112.52,57.09,92,92,4.36
ES,1554361756,Beira,43.2,-8.36,45.0,20,20,8.05
RU,1554361787,Kozhva,65.11,57.05,34.41,0,0,5.37
GR,1554361409,Saint George,39.45,22.34,55.4,20,20,2.91
PF,1554361788,Faanui,-16.48,-151.75,85.53,76,76,6.15
RU,1554361789,Chokurdakh,70.62,147.9,19.65,0,0,4.03
CA,1554361206,Sept-Iles,50.2,-66.38,28.0,90,90,10.29
PG,1554359400,Port Moresby,-9.47,147.16,78.8,90,90,6.93
US,1554361762,Nashville,36.16,-86.77,57.99,75,75,3.36
SL,1554361790,Bonthe,7.53,-12.5,77.88,8,8,4.7
US,1554361565,Makakilo City,21.35,-158.09,75.2,1,1,6.93
CN,1554361790,Huadian,42.97,126.75,56.19,92,92,18.34
MX,1554361791,Puerto Escondido,15.86,-97.07,82.02,0,0,5.48
CA,1554358740,Aklavik,68.22,-135.01,-0.41,40,40,3.36
CN,1554361792,Huilong,28.89,110.18,56.19,92,92,3.13
TR,1554361661,Erzin,36.95,36.2,61.0,0,0,5.82
MG,1554361792,Ambovombe,-25.18,46.09,81.57,0,0,5.93
ZA,1554361793,Danielskuil,-28.19,23.54,61.59,0,0,17.11
RU,1554361793,Tiksi,71.64,128.87,30.0,76,76,11.18
PH,1554361794,Sarangani,5.4,125.46,82.92,0,0,4.7
US,1554361708,Fairbanks,64.84,-147.72,19.4,1,1,8.05
DZ,1554361430,Tazmalt,36.39,4.4,60.8,40,40,6.93
MZ,1554361795,Cuamba,-14.8,36.54,68.34,12,12,4.47
JP,1554357840,Ryotsu,38.08,138.43,55.4,20,20,17.22
EC,1554361533,Olinda,-2.03,-79.75,78.8,75,75,6.93
